L02_V018,2575
L02_V018,2268
L02_V018,2453
L02_V018,2518
L02_V018,2922
L02_V018,23998
L04_V017,2850
L01_V017,2277
L02_V017,2903
L04_V015,3977
L01_V016,4237
L03_V019,2633
L02_V017,550
L04_V017,3194
L20_V024,6142
L04_V017,2923
L03_V001,2883
L01_V016,3245
L22_V030,11761
L03_V019,1629
L01_V017,484
L22_V030,11902
L01_V017,438
L04_V017,427
L03_V020,15025
L03_V029,4628
L03_V001,3070
L01_V017,1707
L01_V016,3497
L04_V016,2900
L22_V001,4945
L04_V013,9813
L17_V011,2366
L05_V018,2051
L03_V015,3397
L04_V017,1538
L02_V008,8581
L03_V019,2401
L01_V017,1950
L04_V014,2757
L01_V017,1658
L15_V016,3622
L20_V003,11489
L04_V017,1461
L04_V016,428
L04_V015,1973
L06_V007,5854
L02_V014,2210
L21_V026,7305
L04_V016,2008
L04_V015,2921
L01_V011,2614
L03_V016,498
L03_V017,12220
L03_V016,2099
L01_V018,1716
L20_V024,2293
L16_V012,34579
L15_V016,783
L01_V014,476
L20_V024,2365
L01_V018,5861
L04_V015,2895
L01_V014,4471
L01_V014,4630
L02_V022,1952
L02_V022,4879
L01_V017,2008
L02_V008,8228
L09_V007,14912
L03_V029,4703
L17_V002,13765
L16_V012,34265
L02_V001,1812
L03_V017,12303
L18_V009,4981
L20_V003,11997
L03_V015,17697
L01_V014,4695
L18_V002,13623
L22_V030,10846
L17_V006,4453
L21_V001,25679
L21_V001,25580
L22_V030,11830
L19_V021,22053
L03_V015,1941
L17_V002,13622
L19_V031,8807
L04_V017,3247
L21_V005,18245
L04_V013,9953
L03_V028,24151
L22_V030,11865
L02_V007,12968
L21_V007,2107
L22_V030,10939
L02_V017,2832
L15_V030,22125
L22_V027,10704
